Anunciante,Marca,Modelo,Versão,Combustível,Mês de Registo,Ano,Quilómetros,Cilindrada,Potência,Valor Fixo,IVA Discriminado,Possibilidade de financiamento,Segmento,Cor,Tipo de Caixa,Número de Mudanças,Nº de portas,Lotação,Classe do veículo,Tracção,Emissões CO2,Garantia de Stand (incl. no preço),Registo(s),Origem,Livro de Revisões completo,Não fumador,Condição,Preco,ID Anuncio,Data Anuncio,Link,Tipo de cor,Consumo Urbano,Consumo Extra Urbano,Filtro de partículas,Aceita retoma,2º Chave,IUC,Consumo Combinado,Inspecção válida até,Sub-modelo,Autonomia Máxima,Autonomia,Bateria,ou até,Garantia de Fábrica até,Clássico,Consumo,Gancho de Reboque,Capacidade da bateria,Valor sem ISV,Site,Portugal,Data
Profissional,Volvo,XC 60,2.0 D4 Momentum AWD Geartronic,Diesel,Novembro,2017,128 500 km,1 969 cm3,190 cv,,,Sim,SUV / TT,Branco,Automática,8,5,5,Classe 1,Integral,,18 Meses,,Nacional,,,Usados,42 500        EUR,8090470592,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-60-2-0-d4-momentum-awd-geartronic-ID8PvMZa.html,,"6,30 l/100km",5 l/100km,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Tiguan,1.5 TSI Life,Gasolina,Agosto,2022,10 000 km,1 498 cm3,130 cv,Sim,Sim,Sim,SUV / TT,Cinzento,Manual,6,5,5,Classe 1,,,36 Meses,1,Nacional,,Sim,Usados,32 900        EUR,8089155582,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-tiguan-1-5-tsi-life-ID8PrgTk.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X1,16 d sDrive Advantage Auto,Diesel,Julho,2021,44 831 km,1 496 cm3,116 cv,,,Sim,SUV / TT,Branco,Automática,7,5,5,Classe 1,Tracção dianteira,134 g/km,18 Meses,,Nacional,,,Usados,41 950        EUR,8088443282,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x1-16-d-sdrive-advantage-auto-ID8PohAC.html,,,,,Sim,Sim,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Setembro,2021,37 290 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,,5,5,,,,18 Meses,1,Nacional,,,Usados,35 500        EUR,8089721287,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PtE3B.html,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,CLA 250,e Shooting Brake AMG Line,Híbrido (Gasolina),Janeiro,2021,76 500 km,1 332 cm3,218 cv,,,Sim,Carrinha,Preto,Automática,8,5,5,Classe 1,Tracção dianteira,26 g/km,18 Meses,1,,Sim,Sim,Usados,44 600        EUR,8089819127,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-250-e-shooting-brake-amg-line-ID8Pu3wF.html,Metalizado,,,,Sim,Sim,120 €,,,Classe CLA,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Jaguar,I-Pace,HSE AWD Aut.,Eléctrico,Dezembro,2019,57 500 km,,400 cv,,,,SUV / TT,Preto,Automática,1,5,5,Classe 1,Integral,,,1,Nacional,Sim,Sim,Usados,45 000        EUR,8090609019,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jaguar-i-pace-hse-awd-aut-ID8PxmZR.html,Metalizado,,,,,Sim,,,,,400 km,415 km,Própria,,,,22 kWh/100km,,,,StandVirtual,Yes,2023-09-25
Profissional,Audi,A4 Avant,35 TDI S tronic,Diesel,Outubro,2019,52 300 km,1 968 cm3,163 cv,Sim,,,Carrinha,Azul,Automática,7,5,5,Classe 1,,,18 Meses,1,Nacional,,,Usados,33 900        EUR,8088743373,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-35-tdi-s-tronic-ID8PpxEN.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Electric,Cooper SE,Eléctrico,Abril,2021,18 000 km,,184 cv,,,Sim,Utilitário,Cinzento,Automática,,3,5,Classe 1,Tracção dianteira,,18 Meses,1,,,Sim,Usados,33 000        EUR,8088059460,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-electric-cooper-se-ID8PmFJV.html,Mate,,,,,Sim,,,25/04/2025,,230 km,230 km,Própria,,25/04/2023,,"15,50 kWh/100km",,230 kWh,,StandVirtual,Yes,2023-09-25
Profissional,BMW,320,d Pack M,Diesel,Dezembro,2016,63 696 km,1 995 cm3,190 cv,Sim,,Sim,Sedan,Preto,Manual,6,4,5,Classe 1,Tracção traseira,,18 Meses,,Importado,Sim,Sim,Usados,30 990        EUR,8089189317,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-320-d-pack-m-ID8PrpFr.html,Metalizado,,,,Sim,Sim,,,,Série 3,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Fiat,500e,Icon,Eléctrico,Julho,2022,9 000 km,,118 cv,,Sim,Sim,Citadino,Cinzento,Automática,,3,4,Classe 1,Tracção dianteira,,36 Meses,,Nacional,Sim,Sim,Usados,32 950        EUR,8090411911,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/fiat-500e-icon-ID8PvxIH.html,,,,,Sim,Sim,,,,,,,Aluguer,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 220,d AMG Line Aut.,Diesel,Agosto,2017,117 000 km,1 950 cm3,194 cv,Sim,,Sim,Coupé,Branco,Automática,9,2,4,Classe 1,Tracção traseira,,18 Meses,,,Sim,Sim,Usados,39 500        EUR,8090246626,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-aut-ID8PwQIO.html,Metalizado,,,Sim,Sim,Sim,,,01/08/2025,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,Z4,28 i Pack M Auto,Gasolina,Março,2013,113 284 km,1 997 cm3,245 cv,,,Sim,Cabrio,Preto,Automática,6,2,2,Classe 1,Tracção dianteira,,18 Meses,,Importado,,,Usados,34 900        EUR,8090326084,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-z4-28-i-pack-m-auto-ID8Pvboo.html,,,,,Sim,,,,,Série Z,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X2,18 d sDrive Auto Pack M,Diesel,Novembro,2020,111 772 km,1 995 cm3,150 cv,,,,SUV / TT,Preto,Automática,,5,5,Classe 1,Tracção dianteira,,18 Meses,,Importado,,,Usados,37 900        EUR,8090326083,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x2-18-d-sdrive-auto-pack-m-ID8Pvbon.html,,,,,,,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Nissan,Qashqai,1.3 DIG-T N-Connecta J18 Led,Gasolina,Dezembro,2022,6 500 km,1 332 cm3,140 cv,Sim,,,SUV / TT,Cinzento,Manual,,5,5,,,,36 Meses,,Nacional,,,Usados,32 490        EUR,8089584628,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/nissan-qashqai-1-3-dig-t-n-connecta-j18-led-ID8Pt4wq.html,,,,,,,,"6,40 l/100km",,,,,,,25/09/2026,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Jeep,Renegade,1.3 TG 4Xe Limited,Híbrido (Gasolina),Novembro,2022,90 km,1 332 cm3,190 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,6,5,5,Classe 1,Integral,,36 Meses,,Nacional,Sim,Sim,Usados,37 950        EUR,8090411907,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/jeep-renegade-1-3-tg-4xe-limited-ID8PvxID.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,216 Gran Coupé,d Pack M,Diesel,Abril,2022,18 500 km,1 496 cm3,116 cv,,,Sim,Utilitário,Preto,Automática,7,4,5,,Tracção dianteira,124 g/km,18 Meses,,Nacional,Sim,Sim,Usados,38 900        EUR,8090619664,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-216-gran-coup-d-pack-m-ID8PxpLy.html,,,,,Sim,Sim,,,,Série 2,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C5 Aircross,1.5 BlueHDi Feel Pack,Diesel,Março,2021,27 800 km,1 499 cm3,130 cv,,,,SUV / TT,Preto,Manual,,5,5,,,106 g/km,36 Meses,1,Nacional,,,Usados,30 750        EUR,8090038402,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-5-bluehdi-feel-pack-ID8PuYym.html,,"4,60 l/100km","3,80 l/100km",,,,,"4,10 l/100km",,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,SEAT,Alhambra,2.0 TDi Xcellence DSG,Diesel,Novembro,2019,37 771 km,1 968 cm3,150 cv,Sim,,,Monovolume,Castanho,Automática,6,5,7,Classe 1,,,18 Meses,,Nacional,,,Usados,36 690        EUR,8090617833,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/seat-alhambra-2-0-tdi-xcellence-dsg-ID8Pxpi1.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Audi,A4 Avant,30 TDI S tronic,Diesel,Março,2022,46 218 km,1 968 cm3,136 cv,,,Sim,Carrinha,Cinzento,Automática,7,5,5,,Tracção dianteira,126 g/km,36 Meses,,,,,Usados,41 980        EUR,8090617516,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a4-avant-30-tdi-s-tronic-ID8PxpcU.html,,,,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Abarth,695C,1.4 T-Jet Rivale MTA,Gasolina,Agosto,2018,53 308 km,1 368 cm3,180 cv,,,Sim,Cabrio,Cinzento,Automática,5,,,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,,Usados,31 900        EUR,8090326078,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8Pvboi.html,,,,,Sim,,,,10/08/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,VW,Passat Variant,1.4 TSI GTE Plug-in,Híbrido (Gasolina),Maio,2022,33 000 km,1 395 cm3,218 cv,Sim,Sim,Sim,Carrinha,Cinzento,Automática,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,,Usados,38 990        EUR,8090252673,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/vw-passat-variant-1-4-tsi-gte-plug-in-ID8PwSil.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Audi,Q5,2.0 TDI quattro S-line S-tronic,Diesel,Dezembro,2017,149 696 km,1 968 cm3,190 cv,,,Sim,SUV / TT,Preto,Automática,7,5,5,Classe 1,Integral,,18 Meses,,Nacional,,,Usados,39 900        EUR,8090326075,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-q5-2-0-tdi-quattro-s-line-s-tronic-ID8Pvbof.html,,,,,Sim,Sim,,,06/12/2023,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,MINI,Clubman,John Cooper Works ALL4,Gasolina,Abril,2019,65 729 km,1 998 cm3,306 cv,,,,Carrinha,Branco,Automática,8,6,5,Classe 1,Integral,,18 Meses,1,Nacional,Sim,Sim,Usados,35 900        EUR,8090691126,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mini-clubman-john-cooper-works-all4-ID8PxIma.html,,,,,,Sim,,,15/09/2026,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 250,AMG Line Aut.,Gasolina,Outubro,2018,52 971 km,1 991 cm3,224 cv,,,Sim,Coupé,Cinzento,Automática,,5,5,Classe 1,Tracção dianteira,,18 Meses,,Importado,,,Usados,36 900        EUR,8090326072,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-amg-line-aut-ID8Pvboc.html,,,,,Sim,,,,04/10/2024,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Mégane,1.8 TCe R.S. Trophy,Gasolina,Janeiro,2020,45 949 km,1 798 cm3,300 cv,,,Sim,Citadino,Branco,Manual,6,5,,Classe 1,Tracção dianteira,,18 Meses,,Importado,,,Usados,42 900        EUR,8090326071,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-mgane-1-8-tce-r-s-trophy-ID8Pvbob.html,,,,,Sim,,,,28/01/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Cupra,Leon,1.4 e-Hybrid VZ DSG,Híbrido (Gasolina),Junho,2021,20 357 km,1 395 cm3,245 cv,Sim,Sim,Sim,Utilitário,Branco,Automática,,5,5,Classe 1,,,18 Meses,,,,,Usados,32 900        EUR,8090691263,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/cupra-leon-1-4-e-hybrid-vz-dsg-ID8PxIon.html,,,,,Sim,,,"1,60 l/100km",,,68 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Julho,2020,36 300 km,1 461 cm3,116 cv,,,Sim,Utilitário,Branco,Automática,,5,5,Classe 1,,,18 Meses,,Nacional,Sim,Sim,Usados,33 900        EUR,8090520146,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PvZSq.html,,,,Sim,Sim,Sim,,,,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Honda,HR-V,1.5 i-MMD e:HEV Elegance,Híbrido (Gasolina),Março,2022,9 906 km,1 498 cm3,130 cv,,,Sim,SUV / TT,Branco,Automática,,5,5,Classe 1,Tracção dianteira,122 g/km,36 Meses,,,,,Usados,34 708        EUR,8090617874,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/honda-hr-v-1-5-i-mmd-ehev-elegance-ID8PxpiG.html,,"3,10 l/100km","4,80 l/100km",,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 180,d AMG Line Aut.,Diesel,Outubro,2022,10 700 km,1 950 cm3,116 cv,,,Sim,Utilitário,Branco,Automática,,5,5,,,133 g/km,36 Meses,,Nacional,Sim,,Usados,39 500        EUR,8090546733,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8Px6Nf.html,,,,Sim,Sim,Sim,,,,Classe A,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Citroën,C5 Aircross,1.6 Hybrid Shine e-EAT8,Híbrido (Gasolina),Julho,2021,50 464 km,1 598 cm3,225 cv,,,Sim,SUV / TT,Branco,Automática,,5,5,,,,18 Meses,,Nacional,Sim,,Usados,36 900        EUR,8090111561,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/citron-c5-aircross-1-6-hybrid-shine-e-eat8-ID8PwhAl.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 220,D AMG,Diesel,Dezembro,2017,114 400 km,1 950 cm3,194 cv,,,Sim,Carrinha,Preto,Automática,,5,7,Classe 1,,,18 Meses,1,Nacional,Sim,,Usados,38 900        EUR,8090033099,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-ID8PuXaP.html,,,,Sim,Sim,Sim,,,,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,DS,DS7 Crossback,E-Tense Performance Line EAT8,Híbrido (Gasolina),Outubro,2022,25 600 km,1 598 cm3,225 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,,5,5,,,31 g/km,36 Meses,,Nacional,Sim,,Usados,43 900        EUR,8090086674,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ds-ds7-crossback-e-tense-performance-line-eat8-ID8Pwb6V.html,,,,,Sim,Sim,,,,,,,,,01/01/0001,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Audi,A5 Cabrio,,Diesel,Março,2017,72 189 km,1 968 cm3,190 cv,,,Sim,Cabrio,Preto,Automática,7,3,4,Classe 1,Tracção dianteira,,18 Meses,,Importado,,,Usados,42 900        EUR,8090326062,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a5-cabrio-ID8Pvbo2.html,,,,,Sim,Sim,,,23/03/2024,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,M550d,xDrive Auto,Diesel,Outubro,2012,199 000 km,2 993 cm3,381 cv,,,Sim,Sedan,Preto,Automática,7,5,5,Classe 1,Tracção dianteira,165 g/km,18 Meses,,Nacional,,,Usados,32 500        EUR,8090326058,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-m550d-xdrive-auto-ID8PvbnY.html,,,,,Sim,,,,30/10/2023,Série 5,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Mercedes-Benz,C 200,AMG Line,Gasolina,Setembro,2019,31 000 km,1 497 cm3,184 cv,,,,Coupé,Preto,Automática,9,3,4,Classe 1,Tracção dianteira,135 g/km,,2,Importado,Sim,Sim,Usados,39 990        EUR,8087893708,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-c-200-amg-line-ID8PlYCv.html,Metalizado,"8,70 l/100km",,,,Sim,,,,Classe C,800 km,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Volvo,XC 90,2.0 D4 Momentum,Diesel,Dezembro,2016,116 500 km,1 969 cm3,190 cv,,,Sim,SUV / TT,Cinzento,Automática,8,5,5,Classe 1,Tracção dianteira,,18 Meses,,Nacional,,,Usados,44 400        EUR,8087355440,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/volvo-xc-90-2-0-d4-momentum-ID8PjIAM.html,,"5,80 l/100km",,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,5008,1.5 BlueHDi GT Line J19 EAT8,Diesel,Agosto,2020,39 000 km,1 499 cm3,130 cv,,,Sim,SUV / TT,Azul,Automática,,5,,,,,36 Meses,,,,,Usados,32 750        EUR,8090691254,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-gt-line-j19-eat8-ID8PxIoe.html,Metalizado,"4,40 l/100km",,,Sim,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Peugeot,3008,1.5 BlueHDi GT Line EAT8,Diesel,Setembro,2020,55 500 km,1 499 cm3,130 cv,,,Sim,SUV / TT,Verde,Automática,8,5,5,,,,36 Meses,,Nacional,Sim,,Usados,30 700        EUR,8090584539,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-5-bluehdi-gt-line-eat8-ID8PxgD1.html,,,,Sim,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Hyundai,i30 N,2.0 T-GDi Pack Performance,Gasolina,Outubro,2021,31 000 km,1 998 cm3,280 cv,,,,Utilitário,Vermelho,Manual,6,5,5,Classe 1,Tracção dianteira,182 g/km,,1,Nacional,Sim,,Usados,41 500        EUR,8090144213,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/hyundai-i30-n-2-0-t-gdi-pack-performance-ID8Pwq4Z.html,Metalizado,,,,,Sim,,,31/10/2025,,,,,,31/10/2028,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X2,20 d xDrive Auto Pack M,Diesel,Maio,2018,94 000 km,1 995 cm3,190 cv,,,Sim,SUV / TT,Branco,Automática,8,5,5,Classe 1,,,18 Meses,1,Nacional,Sim,Sim,Usados,39 990        EUR,8090338656,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x2-20-d-xdrive-auto-pack-m-ID8PveFa.html,,,,,Sim,Sim,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,428,i Cabrio Aut. Sport Line,Gasolina,Março,2015,125 000 km,1 997 cm3,245 cv,,,Sim,Cabrio,Preto,Automática,6,2,4,Classe 1,,,18 Meses,1,Importado,Sim,Sim,Usados,32 990        EUR,8089339996,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-428-i-cabrio-aut-sport-line-ID8Ps2RK.html,,,,,Sim,Sim,,,,Série 4,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 220,D AMG Line,Diesel,Julho,2018,109 000 km,1 950 cm3,194 cv,,,,Carrinha,Preto,Automática,9,5,5,Classe 1,Tracção traseira,147 g/km,18 Meses,,,Sim,Sim,Usados,37 990        EUR,8090293677,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-amg-line-ID8Pv2XH.html,Metalizado,"5,80 l/100km","4,30 l/100km",,,Sim,,,,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Renault,Trafic,2.0 dCi L1H1 1.0T Zen,Diesel,Outubro,2020,10 246 km,1 997 cm3,120 cv,Sim,Sim,Sim,Monovolume,Branco,Manual,,5,9,,Tracção dianteira,188 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,42 990        EUR,8089716863,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/renault-trafic-2-0-dci-l1h1-1-0t-zen-ID8PtCUf.html,,,,,,,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,520,d Auto,Diesel,Outubro,2018,67 000 km,1 995 cm3,190 cv,Sim,,Sim,Carrinha,Azul,Automática,8,5,5,Classe 1,Tracção traseira,150 g/km,18 Meses,,Nacional,,,Usados,34 400        EUR,8089792819,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-auto-ID8PtVFl.html,Metalizado,,,,Sim,Sim,,,,Série 5,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Ford,Kuga,2.5 PHEV ST-Line X,Híbrido (Gasolina),Março,2023,11 000 km,2 488 cm3,225 cv,Sim,Sim,Sim,SUV / TT,Vermelho,Automática,,5,5,Classe 1,,,36 Meses,1,Nacional,Sim,Sim,Usados,42 490        EUR,8090297998,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/ford-kuga-2-5-phev-st-line-x-ID8Pv45o.html,Metalizado,,,,Sim,Sim,,,,,57 km,56 km,,,01/03/2030,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X5,40 d xDrive Pack M 157g,Diesel,Fevereiro,2016,175 000 km,2 993 cm3,313 cv,Sim,,Sim,SUV / TT,Branco,Automática,8,5,5,,,,36 Meses,,Importado,,,Usados,41 500        EUR,8085383432,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x5-40-d-xdrive-pack-m-157g-ID8PbrAc.html,,,,,,Sim,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 220,d T 9G-TRONIC Exclusive,Diesel,Janeiro,2020,161 000 km,1 950 cm3,194 cv,,Sim,Sim,Carrinha,Preto,Automática,9,5,5,Classe 1,Tracção traseira,128 g/km,18 Meses,1,,Sim,,Usados,39 900        EUR,8090646214,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-220-d-t-9g-tronic-exclusive-ID8PxvFM.html,Metalizado,"5,80 l/100km","4,30 l/100km",Sim,Sim,Sim,,,,Classe E,,,,,,,,1,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,A 250,e AMG Line,Híbrido (Gasolina),Outubro,2020,100 000 km,1 332 cm3,218 cv,,Sim,Sim,Utilitário,Preto,Automática,,5,5,,,,18 Meses,,Nacional,Sim,Sim,Usados,31 500        EUR,8090274415,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-250-e-amg-line-ID8PwXX1.html,Metalizado,,,,Sim,Sim,,,01/10/2024,Classe A,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,BMW,X3,18 d sDrive Ed. L.Style Auto,Diesel,Agosto,2020,99 824 km,1 995 cm3,150 cv,,Sim,Sim,SUV / TT,Cinzento,Automática,8,5,5,Classe 1,Tracção traseira,,18 Meses,1,Nacional,Sim,,Usados,39 850        EUR,8089685825,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-x3-18-d-sdrive-ed-l-style-auto-ID8PtuPD.html,Metalizado,,,,Sim,Sim,,,,Série X,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Cupra,Formentor,1.5 TSI Sport DSG,Gasolina,Novembro,2022,16 371 km,1 498 cm3,150 cv,Sim,,Sim,SUV / TT,Cinzento,Automática,7,5,5,Classe 1,,,18 Meses,1,Nacional,,,Usados,35 950        EUR,8089895368,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/cupra-formentor-1-5-tsi-sport-dsg-ID8Punlm.html,,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Audi,A3 Sportback,40 TFSIe Advanced,Híbrido (Gasolina),Dezembro,2020,40 000 km,1 395 cm3,204 cv,Sim,,Sim,Utilitário,Cinzento,Automática,7,5,5,Classe 1,Tracção dianteira,,18 Meses,1,Nacional,Sim,Sim,Usados,32 480        EUR,8089208076,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/audi-a3-sportback-40-tfsie-advanced-ID8Pruy0.html,Metalizado,,,,Sim,Sim,,,,,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,BMW,520,d Line Luxury Auto,Diesel,Maio,2019,126 450 km,1 995 cm3,190 cv,,,,Carrinha,Preto,Automática,,5,5,Classe 1,,,,1,Nacional,Sim,Sim,Usados,34 900        EUR,8090340902,24 Setembro 2023,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-luxury-auto-ID8Pvffo.html,,,,,,Sim,,,01/05/2025,Série 5,,,,,,,,,,,StandVirtual,Yes,2023-09-25
Particular,Tesla,Model 3,Standard Range Plus RWD,Eléctrico,Março,2022,85 000 km,,325 cv,,,,Sedan,Cinzento,Automática,1,4,,,Tracção traseira,,,,,,Sim,Usados,33 000        EUR,8090689473,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/tesla-model-3-standard-range-plus-rwd-ID8PxHWw.html,,,,,,Sim,,,,,,,Própria,,,,,,,,StandVirtual,Yes,2023-09-25
Profissional,Mercedes-Benz,E 300,e AMG Line,Híbrido (Gasolina),Janeiro,2020,139 477 km,1 991 cm3,320 cv,Sim,Sim,Sim,Sedan,Cinzento,Automática,,4,5,,Tracção traseira,41 g/km,18 Meses,1,Nacional,Sim,Sim,Usados,39 690        EUR,8090618994,25 Setembro 2023,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-e-amg-line-ID8PxpAK.html,,,,,,,,,,Classe E,,,,,,,,,,,StandVirtual,Yes,2023-09-25
